#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         232    -5.39908    -5.43696  0.00557905
         233    -5.49339     -5.4372  0.00556036
         234    -5.55376     -5.4377  0.00555886
         235    -5.53876    -5.43813  0.00555182
         236    -5.46296    -5.43823  0.00552929
         237    -5.49817    -5.43849  0.00551174
         238    -5.40566    -5.43835  0.00549031
         239    -5.40474    -5.43821  0.00546914
         240    -5.41213     -5.4381  0.00544743
         241    -5.31251    -5.43758  0.00544969
         242    -5.38098    -5.43735  0.00543219
         243     -5.3937    -5.43717  0.00541281
         244     -5.3978      -5.437  0.00539303
         245    -5.37601    -5.43676  0.00537676
         246    -5.36711    -5.43647  0.00536235
         247    -5.33548    -5.43606  0.00535621
         248    -5.39017    -5.43588   0.0053378
         249    -5.39348    -5.43571  0.00531908
         250    -5.43641    -5.43571  0.00529781
         251    -5.34791    -5.43536  0.00528824
         252    -5.26644    -5.43469  0.00530957
         253    -5.18217    -5.43369  0.00538157
         254    -5.33047    -5.43329  0.00537571
         255    -5.31098    -5.43281  0.00537598
         256    -5.36282    -5.43253  0.00536193
         257    -5.25908    -5.43186  0.00538337
         258    -5.30852    -5.43138  0.00538369
         259    -5.34643    -5.43105  0.00537289
         260    -5.42659    -5.43103  0.00535225
         261    -5.41723    -5.43098    0.005332
         262     -5.5496    -5.43143  0.00533084
         263    -5.55451     -5.4319  0.00533107
         264    -5.55651    -5.43237  0.00533173
         265    -5.53607    -5.43277  0.00532595
         266    -5.45202    -5.43284  0.00530642
         267     -5.4976    -5.43308  0.00529209
         268    -5.58234    -5.43364  0.00530157
         269    -5.51551    -5.43394  0.00529058
         270    -5.58179    -5.43449  0.00529925
         271    -5.53516    -5.43486   0.0052927
         272    -5.46991    -5.43499  0.00527481
         273    -5.47855    -5.43515   0.0052579
         274    -5.47037    -5.43528  0.00524028
         275    -5.54252    -5.43567  0.00523572
         276    -5.53074    -5.43601  0.00522807
         277     -5.5748    -5.43651  0.00523315
         278    -5.56081    -5.43696  0.00523339
         279    -5.55601    -5.43739    0.005232
         280    -5.56562    -5.43785  0.00523332
         281    -5.55282    -5.43825  0.00523066
         282    -5.57817    -5.43875  0.00523559
         283    -5.61028    -5.43936  0.00525206
         284    -5.50094    -5.43957  0.00523804
         285    -5.46892    -5.43968  0.00522067
         286    -5.47904    -5.43981  0.00520424
         287    -5.44132    -5.43982   0.0051861
         288    -5.42997    -5.43979  0.00516821
         289    -5.42312    -5.43973  0.00515065
         290     -5.3882    -5.43955  0.00513595
         291    -5.38422    -5.43936  0.00512182
         292    -5.40543    -5.43924   0.0051056
         293    -5.41573    -5.43916   0.0050888
         294    -5.41818    -5.43909    0.005072
         295    -5.38432    -5.43891   0.0050582
         296    -5.41434    -5.43882  0.00504179
         297    -5.40774    -5.43872   0.0050259
         298    -5.40512    -5.43861   0.0050103
         299    -5.39646    -5.43847  0.00499553
         300    -5.29822      -5.438   0.0050007
         301    -5.42349    -5.43795  0.00498432
         302    -5.38625    -5.43778  0.00497076
         303    -5.32592    -5.43741  0.00496804
         304    -5.30892    -5.43699  0.00496965
         305    -5.32815    -5.43663  0.00496615
         306    -5.16347    -5.43574  0.00502951
         307    -5.13911    -5.43477  0.00510509
         308    -5.22986    -5.43411  0.00513168
         309    -5.18132    -5.43329  0.00517987
         310    -5.36509    -5.43307  0.00516783
         311    -5.33862    -5.43276  0.00516013
         312    -5.38639    -5.43261  0.00514573
         313    -5.44607    -5.43266  0.00512947
         314    -5.41169    -5.43259  0.00511357
         315    -5.33325    -5.43228  0.00510705
         316    -5.33056    -5.43195  0.00510102
         317    -5.25466    -5.43139   0.0051155
         318    -5.32282    -5.43105   0.0051108
         319    -5.41602    -5.43101  0.00509499
         320     -5.4203    -5.43097  0.00507918
         321    -5.39586    -5.43086  0.00506453
         322    -5.32672    -5.43054  0.00505912
         323    -5.28164    -5.43008  0.00506442
         324    -5.42287    -5.43006  0.00504884
         325     -5.3696    -5.42987  0.00503673
         326    -5.54313    -5.43022  0.00503325
         327    -5.45812     -5.4303  0.00501858
         328    -5.59319     -5.4308  0.00502779
         329    -5.59064    -5.43129  0.00503592
         330    -5.49616    -5.43148   0.0050245
         331    -5.47104     -5.4316  0.00501074
         332    -5.44196    -5.43163  0.00499575
         333    -5.52045     -5.4319  0.00498786
         334     -5.5819    -5.43235   0.0049931
         335    -5.48907    -5.43252  0.00498107
         336    -5.55052    -5.43287  0.00497861
         337    -5.43265    -5.43287  0.00496383
         338    -5.48798    -5.43303  0.00495182
         339    -5.50115    -5.43323  0.00494129
