#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         334     1.71725     2.39505   0.0231063
         335     2.06494     2.39407   0.0230583
         336     1.84143     2.39242   0.0230483
         337     2.31601      2.3922    0.022981
         338     2.08172     2.39128   0.0229314
         339     2.03554     2.39023   0.0228877
         340     2.00326     2.38909   0.0228487
         341     1.94883      2.3878   0.0228181
         342     1.89097     2.38635   0.0227976
         343     2.06945     2.38542   0.0227499
         344      2.6646     2.38623   0.0226982
         345     2.37884     2.38621   0.0226324
         346     2.70566     2.38714   0.0225858
         347     2.28955     2.38685   0.0225225
         348     1.95915     2.38562   0.0224913
         349     2.50868     2.38598   0.0224296
         350     2.74579     2.38701   0.0223891
         351      2.2496     2.38661   0.0223287
         352     2.57934     2.38716    0.022272
         353     2.44583     2.38733   0.0222095
         354     2.48083     2.38759   0.0221483
         355     2.60366      2.3882   0.0220943
         356     2.14938     2.38753   0.0220424
         357     1.93955     2.38627   0.0220164
         358     1.72488     2.38443   0.0220322
         359     2.02921     2.38344   0.0219931
         360     2.46102     2.38365    0.021933
         361     2.29222      2.3834   0.0218737
         362     2.31707     2.38322   0.0218141
         363     2.41526     2.38331   0.0217542
         364     1.77798     2.38164   0.0217579
         365     1.52905     2.37931   0.0218233
         366     2.14689     2.37867   0.0217729
         367     2.17094     2.37811   0.0217209
         368     2.09693     2.37734   0.0216753
         369      2.5963     2.37793   0.0216247
         370     2.29021      2.3777   0.0215676
         371     2.46334     2.37793   0.0215107
         372     2.38629     2.37795   0.0214529
         373     2.51975     2.37833   0.0213987
         374     2.44932     2.37852   0.0213424
         375     2.56044     2.37901    0.021291
         376     2.01884     2.37805   0.0212559
         377     2.03185     2.37713   0.0212193
         378     2.02882     2.37621   0.0211832
         379     1.87061     2.37487   0.0211692
         380     1.98393     2.37385   0.0211385
         381     2.06972     2.37305   0.0210981
         382      2.4567     2.37327    0.021044
         383     2.33141     2.37316   0.0209893
         384     2.29596     2.37296   0.0209356
         385     2.33066     2.37285   0.0208816
         386      2.3289     2.37273   0.0208278
         387     2.26786     2.37246   0.0207757
         388     2.21949     2.37207   0.0207259
         389     2.46524     2.37231    0.020674
         390     2.59188     2.37287   0.0206287
         391     2.64505     2.37357   0.0205877
         392     2.61503     2.37418   0.0205443
         393     2.47803     2.37445   0.0204938
         394     2.57642     2.37496   0.0204482
         395     2.62462     2.37559   0.0204062
         396     2.53238     2.37599   0.0203585
         397      2.5761     2.37649   0.0203134
         398     2.19392     2.37603   0.0202676
         399     2.00189     2.37509   0.0202385
         400     1.98746     2.37413    0.020211
         401     1.95187     2.37307   0.0201881
         402     1.73803     2.37149   0.0201996
         403     2.00689     2.37059   0.0201697
         404     2.26653     2.37033   0.0201214
         405       2.352     2.37028   0.0200718
         406     2.08096     2.36957    0.020035
         407     2.59216     2.37012   0.0199932
         408     2.97175     2.37159   0.0199985
         409     3.37379     2.37404   0.0200992
         410     2.83173     2.37516   0.0200811
         411      2.8915     2.37642   0.0200715
         412     3.58048     2.37934   0.0202345
         413     3.21481     2.38136   0.0202863
         414     2.81533     2.38241   0.0202644
         415     2.82544     2.38348   0.0202437
         416     2.92729     2.38479   0.0202372
         417     3.16808     2.38666   0.0202756
         418     2.94897     2.38801   0.0202717
         419     2.76063      2.3889   0.0202428
         420     2.61945     2.38945   0.0202021
         421     2.55889     2.38985   0.0201581
         422      2.3623     2.38978   0.0201104
         423     2.53944     2.39014    0.020066
         424     2.44272     2.39026    0.020019
         425     2.54819     2.39063   0.0199754
         426     3.04634     2.39217   0.0199877
         427     2.90843     2.39338   0.0199774
         428     3.01281     2.39483   0.0199831
         429     2.99628     2.39623   0.0199857
         430     3.11426      2.3979   0.0200088
         431     2.97488     2.39924   0.0200071
         432      2.5102      2.3995   0.0199625
         433     2.52487     2.39979   0.0199185
         434     2.48446     2.39998   0.0198735
         435     2.65318     2.40056   0.0198364
         436     2.73859     2.40134    0.019806
         437     2.65167     2.40191    0.019769
         438     2.61389      2.4024   0.0197297
         439     1.97554     2.40142   0.0197088
         440     2.03967      2.4006   0.0196811
         441     2.43125     2.40067   0.0196366
         442     2.62275     2.40117   0.0195986
         443     2.70581     2.40186   0.0195664
         444     2.48118     2.40204   0.0195232
         445     2.51915      2.4023   0.0194811
         446     2.49211      2.4025   0.0194384
         447     2.57456     2.40289   0.0193987
         448     2.29757     2.40265   0.0193569
         449     2.24152     2.40229   0.0193171
         450     2.51753     2.40255   0.0192759
         451     2.89584     2.40364   0.0192641
         452     2.41432     2.40367   0.0192215
         453     2.59454     2.40409   0.0191837
         454     2.55438     2.40442   0.0191443
         455     2.71368      2.4051   0.0191143
         456     2.99354     2.40639   0.0191159
         457     2.67988     2.40699   0.0190834
         458     2.63047     2.40748    0.019048
         459     3.05132     2.40888   0.0190581
         460     3.05116     2.41028   0.0190677
         461     2.94153     2.41143   0.0190611
         462     2.77811     2.41222   0.0190364
         463     2.69483     2.41283   0.0190051
         464     2.59234     2.41322   0.0189681
         465     2.41546     2.41322   0.0189273
         466     2.26808     2.41291   0.0188892
         467     1.97999     2.41199   0.0188715
         468     1.72561     2.41052   0.0188881
         469     1.52163     2.40862   0.0189427
         470     1.46684     2.40662    0.019008
         471     1.55427     2.40481   0.0190536
         472     1.73917      2.4034   0.0190654
         473     2.14071     2.40284   0.0190332
         474     2.29194     2.40261   0.0189944
         475     2.00286     2.40177   0.0189731
         476     2.45273     2.40188   0.0189335
         477     2.60127     2.40229   0.0188985
         478     2.40971     2.40231   0.0188589
         479     2.29081     2.40208    0.018821
         480     2.33969     2.40195   0.0187822
         481     2.48827     2.40213    0.018744
         482     2.66715     2.40268   0.0187132
         483     2.25488     2.40237    0.018677
         484     1.87095     2.40127   0.0186706
         485     2.16148     2.40078   0.0186387
         486     1.69013     2.39932   0.0186576
         487     1.20723     2.39687   0.0187792
         488     1.20875     2.39443   0.0188979
         489     1.41659     2.39243   0.0189647
         490     1.80059     2.39123   0.0189644
         491     1.59578     2.38961   0.0189949
         492     2.31665     2.38946   0.0189568
         493     2.12272     2.38892   0.0189261
         494     2.19702     2.38853   0.0188918
         495     2.25234     2.38825   0.0188556
         496      2.2179     2.38791   0.0188207
         497      2.4733     2.38808   0.0187837
         498     2.43742     2.38818   0.0187462
         499     2.15993     2.38772   0.0187142
         500     2.56179     2.38807     0.01868
         501     2.51083     2.38832   0.0186443
         502     2.93594     2.38941   0.0186391
         503     2.71961     2.39006   0.0186136
         504     2.75716     2.39079   0.0185909
         505     2.53372     2.39107   0.0185562
         506     2.91194      2.3921   0.0185481
         507     2.58156     2.39248   0.0185153
         508     2.59385     2.39287   0.0184831
         509     2.15737     2.39241   0.0184526
         510     2.61563     2.39285   0.0184216
         511     2.69317     2.39344   0.0183949
         512     2.78796     2.39421   0.0183751
         513     3.11351     2.39561   0.0183927
         514      2.7009      2.3962   0.0183665
         515     2.26367     2.39595   0.0183326
         516     2.06749     2.39531   0.0183082
         517     1.76775      2.3941   0.0183129
         518     1.54117     2.39245   0.0183515
         519     1.88217     2.39147   0.0183424
         520     1.42914     2.38962   0.0184003
         521      2.0417     2.38895   0.0183771
         522     2.08155     2.38836   0.0183513
         523     1.71644     2.38707   0.0183611
         524     1.81952     2.38599    0.018358
         525     2.28623      2.3858    0.018324
         526     2.13084     2.38532   0.0182956
         527     2.36689     2.38528   0.0182609
         528     2.53532     2.38557   0.0182285
         529     2.37505     2.38555   0.0181941
         530      2.7872      2.3863   0.0181755
         531     2.53266     2.38658   0.0181434
         532     2.49788     2.38679   0.0181105
         533     2.17237     2.38639    0.018081
         534     2.26921     2.38617   0.0180484
         535     2.18879      2.3858   0.0180185
         536     1.77366     2.38466    0.018021
         537      2.3259     2.38455   0.0179878
         538     2.65521     2.38505   0.0179614
         539     2.07595     2.38448   0.0179372
         540     2.17749     2.38409   0.0179081
         541     2.43689     2.38419   0.0178753
         542     2.58577     2.38456   0.0178462
         543     2.54516     2.38486   0.0178157
         544     3.09565     2.38616   0.0178308
         545      2.9472     2.38719   0.0178278
         546     2.94821     2.38822   0.0178247
         547     2.81711     2.38901   0.0178094
         548     2.80881     2.38977   0.0177934
         549     1.88825     2.38886   0.0177844
         550     1.75929     2.38771   0.0177889
         551     2.12984     2.38724   0.0177627
         552     2.26619     2.38703   0.0177319
         553     1.99057     2.38631   0.0177143
         554     2.43008     2.38639   0.0176825
         555     2.33367     2.38629   0.0176509
         556     2.24122     2.38603   0.0176211
         557     2.15728     2.38562   0.0175943
         558     2.28305     2.38544   0.0175637
         559     2.42378     2.38551   0.0175324
         560     2.69641     2.38606   0.0175099
         561     2.54792     2.38635    0.017481
         562     2.64935     2.38682   0.0174562
         563     2.36503     2.38678   0.0174252
         564     2.29658     2.38662   0.0173951
         565     2.24366     2.38637   0.0173661
         566     1.94731     2.38559   0.0173528
         567     2.05139       2.385   0.0173322
         568     1.89958     2.38415   0.0173227
         569     2.33097     2.38405   0.0172925
         570     2.39252     2.38407   0.0172622
         571     2.40315      2.3841    0.017232
         572     2.06185     2.38354   0.0172111
         573     2.08739     2.38302   0.0171888
         574     2.03754     2.38242   0.0171694
         575     2.75569     2.38307   0.0171518
         576     2.24987     2.38284   0.0171236
         577     2.28425     2.38267   0.0170947
         578     2.01355     2.38203   0.0170771
         579     2.12263     2.38158   0.0170535
         580     2.35245     2.38153   0.0170241
         581     2.45271     2.38165   0.0169953
         582     1.93965     2.38089    0.016983
         583     1.99377     2.38023   0.0169669
         584     1.61945     2.37893   0.0169878
         585     1.66657     2.37771   0.0170023
         586     2.02924     2.37711   0.0169837
         587      1.9335     2.37636   0.0169716
         588     1.62827     2.37509   0.0169903
         589     1.57325     2.37372   0.0170159
         590      1.4182      2.3721    0.017064
         591     1.29722     2.37029   0.0171318
         592     1.82217     2.36936   0.0171278
         593     2.06357     2.36884   0.0171067
         594     2.22693     2.36861   0.0170796
         595     2.18742      2.3683   0.0170536
         596     2.20436     2.36803   0.0170272
         597     1.74508     2.36698   0.0170306
         598     1.97683     2.36633   0.0170146
         599     2.03379     2.36577   0.0169953
         600     2.01831      2.3652   0.0169768
         601     1.66627     2.36403   0.0169883
         602     1.81434     2.36312   0.0169846
         603     1.59165     2.36184   0.0170046
         604     1.70804     2.36076   0.0170109
         605     2.09271     2.36031   0.0169885
         606     1.96379     2.35966   0.0169731
         607     2.21381     2.35942   0.0169468
         608     2.28579      2.3593   0.0169194
         609      2.2006     2.35904   0.0168936
         610     2.56891     2.35938   0.0168694
         611      2.1443     2.35903   0.0168455
         612     1.55845     2.35772   0.0168687
         613     1.65766     2.35658   0.0168798
         614     2.05119     2.35608   0.0168596
         615     2.35918     2.35609   0.0168322
         616     1.92916     2.35539   0.0168191
         617     1.92961      2.3547    0.016806
         618     1.53009     2.35337   0.0168317
         619     1.25862      2.3516   0.0168972
