#     BLOCK:   VELOCITY:   ACT_POFV:    AVE_POFV:        ERROR:
          18     3.71231   0.0784103    0.134807  0.00832706
          18     4.06586   0.0876289    0.114106  0.00810364
          18     4.41942   0.0358791   0.0405553  0.00399787
          18     4.77297   0.0446263   0.0405699  0.00357375
          18     5.12652   0.0688774   0.0235411  0.00433258
          18     5.48008  0.00989949  0.00630576  0.00174065
          18     5.83363           0  0.00092535 0.000646195
          18     6.18718           0           0           0
          18     6.54074           0           0           0
          18     6.89429           0           0           0
          19    0.176777  0.00639015  0.00719512  0.00238892
          19     0.53033   0.0653157   0.0635872  0.00744254
          19    0.883883    0.228736     0.13794   0.0115519
          19     1.23744    0.395718    0.321451   0.0120296
          19     1.59099    0.277291    0.348092     0.01585
          19     1.94454    0.257649    0.377374   0.0134139
          19      2.2981    0.431388     0.38412    0.012475
          19     2.65165    0.345225    0.325195   0.0114978
          19      3.0052    0.381576    0.296268   0.0201502
          19     3.35876    0.131417    0.209188   0.0117619
          19     3.71231   0.0712868    0.131464  0.00853356
          19     4.06586   0.0766294    0.112134  0.00791354
          19     4.41942   0.0313746   0.0400721  0.00381654
          19     4.77297     0.04625   0.0408688  0.00339814
          19     5.12652   0.0587161   0.0253924  0.00448267
          19     5.48008   0.0234655  0.00720891  0.00186871
          19     5.83363           0 0.000876647 0.000614018
          19     6.18718           0           0           0
          19     6.54074           0           0           0
          19     6.89429           0           0           0
          20    0.176777  0.00895669   0.0072832   0.0022711
          20     0.53033   0.0727534   0.0640455  0.00708451
          20    0.883883    0.182643    0.140175   0.0111885
          20     1.23744     0.36471    0.323614   0.0116209
          20     1.59099     0.34863    0.348119   0.0150575
          20     1.94454    0.346116    0.375812   0.0128339
          20      2.2981    0.363715      0.3831   0.0118929
          20     2.65165    0.304318    0.324151   0.0109702
          20      3.0052    0.360258    0.299468   0.0193951
          20     3.35876    0.179919    0.207724   0.0112644
          20     3.71231   0.0403313    0.126907  0.00924372
          20     4.06586   0.0602874    0.109541   0.0079311
          20     4.41942   0.0701869   0.0415779  0.00391148
          20     4.77297   0.0479785   0.0412243  0.00324677
          20     5.12652    0.048188   0.0265322  0.00440105
          20     5.48008   0.0294366  0.00832029  0.00207967
          20     5.83363           0 0.000832815 0.000584879
          20     6.18718           0           0           0
          20     6.54074           0           0           0
          20     6.89429           0           0           0
          21    0.176777   0.0357744  0.00863992  0.00253602
          21     0.53033   0.0597112   0.0638391  0.00675016
          21    0.883883    0.159911    0.141115   0.0106951
          21     1.23744    0.346692    0.324713   0.0111194
          21     1.59099    0.375395    0.349418   0.0143964
          21     1.94454    0.293685    0.371901   0.0128048
          21      2.2981    0.410174    0.384389   0.0113963
          21     2.65165    0.267077    0.321433   0.0107792
          21      3.0052    0.387023    0.303637   0.0189143
          21     3.35876    0.163263    0.205607   0.0109252
          21     3.71231   0.0821291    0.124775  0.00904613
          21     4.06586   0.0406455    0.106261  0.00820397
          21     4.41942    0.104652   0.0445814  0.00474013
          21     4.77297   0.0530068   0.0417854  0.00314027
          21     5.12652   0.0489737   0.0276009  0.00431927
          21     5.48008  0.00031427  0.00793905  0.00201528
          21     5.83363           0 0.000793157 0.000558371
          21     6.18718           0           0           0
          21     6.54074           0           0           0
          21     6.89429           0           0           0
          22    0.176777  0.00109994   0.0082972  0.00244379
          22     0.53033   0.0567781   0.0635182  0.00645096
          22    0.883883    0.191338    0.143397   0.0104498
          22     1.23744    0.326055    0.324774   0.0106141
          22     1.59099    0.406665     0.35202   0.0139752
          22     1.94454    0.362615    0.371479   0.0122297
          22      2.2981     0.29028    0.380112   0.0116535
          22     2.65165    0.339621     0.32226   0.0103209
          22      3.0052    0.346011    0.305563   0.0181524
          22     3.35876    0.166406    0.203825   0.0105729
          22     3.71231    0.132674    0.125134  0.00864207
          22     4.06586   0.0376076     0.10314  0.00840363
          22     4.41942    0.076577   0.0460357  0.00474253
          22     4.77297   0.0378695   0.0416074  0.00300257
          22     5.12652    0.027551   0.0275986  0.00412294
          22     5.48008   0.0280748  0.00885431  0.00212135
          22     5.83363   0.0012047 0.000811863 0.000533303
          22     6.18718           0           0           0
          22     6.54074           0           0           0
          22     6.89429           0           0           0
          23    0.176777           0  0.00793645  0.00236402
          23     0.53033   0.0801911   0.0642431  0.00621108
          23    0.883883    0.167191    0.144432   0.0100465
          23     1.23744    0.286247    0.323099    0.010284
          23     1.59099    0.306099    0.350024   0.0135095
          23     1.94454    0.360258    0.370991   0.0117077
          23      2.2981    0.327207    0.377811   0.0113715
          23     2.65165    0.413212    0.326214   0.0106027
          23      3.0052     0.33653    0.306909    0.017413
          23     3.35876    0.283052     0.20727   0.0106596
          23     3.71231   0.0884145    0.123538   0.0084125
          23     4.06586   0.0610207    0.101309  0.00823537
          23     4.41942    0.055102   0.0464299  0.00455269
          23     4.77297  0.00335221   0.0399441  0.00330071
          23     5.12652   0.0343602   0.0278926  0.00395415
          23     5.48008   0.0261891    0.009608  0.00215886
          23     5.83363           0 0.000776565 0.000511283
          23     6.18718           0           0           0
          23     6.54074           0           0           0
          23     6.89429           0           0           0
          24    0.176777  0.00995187  0.00802042  0.00226701
          24     0.53033   0.0559924   0.0638993  0.00596179
          24    0.883883      0.1905    0.146351  0.00980955
          24     1.23744    0.284466    0.321489  0.00998066
          24     1.59099    0.387442    0.351583   0.0130362
          24     1.94454    0.309922    0.368446   0.0114931
          24      2.2981    0.257858    0.372813   0.0119457
          24     2.65165    0.319874     0.32595   0.0101642
          24      3.0052    0.464543    0.313477   0.0178833
          24     3.35876    0.279019     0.21026   0.0106264
          24     3.71231    0.071863    0.121384  0.00833296
          24     4.06586   0.0826529    0.100531  0.00792883
          24     4.41942   0.0619635   0.0470772  0.00440876
          24     4.77297           0   0.0382798  0.00355814
          24     5.12652   0.0261891   0.0278216  0.00379003
          24     5.48008   0.0261891   0.0102989  0.00217665
          24     5.83363           0 0.000744208 0.000491003
          24     6.18718           0           0           0
          24     6.54074           0           0           0
          24     6.89429           0           0           0
          25    0.176777   0.0108947  0.00813539  0.00217924
          25     0.53033   0.0877336   0.0648527  0.00579905
          25    0.883883    0.224703    0.149486  0.00990517
          25     1.23744    0.196314    0.316482   0.0107643
          25     1.59099    0.330612    0.350744   0.0125417
          25     1.94454     0.37859    0.368852   0.0110405
          25      2.2981    0.329093    0.371064   0.0115952
          25     2.65165    0.308665    0.325259  0.00978113
          25      3.0052    0.411484    0.317398   0.0175924
          25     3.35876    0.231564    0.211112   0.0102354
          25     3.71231    0.117275     0.12122  0.00800126
          25     4.06586   0.0879955     0.10003  0.00762751
          25     4.41942   0.0552067   0.0474023  0.00424439
          25     4.77297  0.00827577   0.0370796  0.00361255
          25     5.12652   0.0351458   0.0281146  0.00364974
          25     5.48008   0.0148754   0.0104819  0.00209727
          25     5.83363           0  0.00071444 0.000472264
          25     6.18718           0           0           0
          25     6.54074           0           0           0
          25     6.89429           0           0           0
          26    0.176777           0  0.00782249  0.00211777
          26     0.53033   0.0558352   0.0645059  0.00558637
          26    0.883883      0.1773    0.150555   0.0095818
          26     1.23744    0.318355    0.316554   0.0103506
          26     1.59099    0.372986    0.351599   0.0120885
          26     1.94454    0.330664    0.367383   0.0107131
          26      2.2981    0.331188    0.369531   0.0112502
          26     2.65165    0.265977    0.322979  0.00966704
          26      3.0052    0.399699    0.320563   0.0171982
          26     3.35876    0.293895    0.214296   0.0103251
          26     3.71231    0.105857    0.120629  0.00771531
          26     4.06586   0.0509117   0.0981408  0.00756448
          26     4.41942   0.0553638   0.0477086  0.00409217
          26     4.77297   0.0115232   0.0360967  0.00360485
          26     5.12652   0.0431597   0.0286932  0.00355494
          26     5.48008  0.00644253   0.0103266  0.00202235
          26     5.83363  0.00738534 0.000971013 0.000519138
          26     6.18718  0.00188562 7.25238e-05 7.11154e-05
          26     6.54074           0           0           0
          26     6.89429           0           0           0
          27    0.176777           0  0.00753277  0.00205906
          27     0.53033   0.0463548   0.0638336  0.00541976
          27    0.883883    0.218417    0.153069  0.00955088
          27     1.23744    0.306727     0.31619  0.00997362
          27     1.59099    0.349363    0.351516   0.0116411
          27     1.94454     0.23984    0.362659   0.0113099
          27      2.2981    0.427773    0.371688   0.0110384
          27     2.65165    0.325688    0.323079  0.00930952
          27      3.0052    0.301175    0.319845   0.0165762
          27     3.35876    0.349573    0.219306   0.0110919
          27     3.71231    0.103866    0.120008  0.00745449
          27     4.06586   0.0548924    0.096539  0.00745198
          27     4.41942   0.0370314   0.0473131  0.00395967
          27     4.77297   0.0153468   0.0353282  0.00355231
          27     5.12652   0.0261891   0.0286005  0.00342448
