#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         266     1.79289     1.60676    0.018912
         267     1.79756     1.60747   0.0188547
         268     1.80099      1.6082   0.0187982
         269     1.80319     1.60892   0.0187423
         270     1.80417     1.60964   0.0186868
         271     1.80298     1.61036   0.0186314
         272     1.80109     1.61106   0.0185761
         273     1.79876     1.61175   0.0185208
         274     1.79483     1.61242   0.0184653
         275     1.78981     1.61306   0.0184094
         276     1.78353     1.61368    0.018353
         277     1.77675     1.61427   0.0182962
         278     1.76857     1.61482   0.0182388
         279     1.75978     1.61534   0.0181809
         280     1.74996     1.61582   0.0181223
         281     1.74016     1.61626   0.0180632
         282     1.72899     1.61666   0.0180036
         283     1.71751     1.61702   0.0179435
         284     1.70506     1.61733    0.017883
         285     1.69292      1.6176   0.0178222
         286     1.68022     1.61781   0.0177612
         287     1.66702     1.61799   0.0177002
         288      1.6546     1.61811   0.0176391
         289      1.6423      1.6182   0.0175783
         290     1.62971     1.61824   0.0175177
         291     1.61617     1.61823   0.0174575
         292     1.60341     1.61818   0.0173978
         293      1.5898     1.61808   0.0173387
         294     1.57612     1.61794   0.0172803
         295     1.56311     1.61775   0.0172228
         296     1.55084     1.61753   0.0171661
         297     1.53786     1.61726   0.0171104
         298     1.52566     1.61695   0.0170557
         299     1.51402     1.61661   0.0170021
         300     1.50248     1.61623   0.0169497
         301     1.49129     1.61581   0.0168985
         302     1.48071     1.61536   0.0168484
         303     1.47099     1.61489   0.0167996
         304      1.4602     1.61438    0.016752
         305     1.45051     1.61384   0.0167057
         306     1.44095     1.61328   0.0166607
         307       1.432     1.61269   0.0166169
         308     1.42411     1.61207   0.0165742
         309     1.41655     1.61144   0.0165326
         310     1.40879     1.61079   0.0164922
         311     1.40105     1.61011    0.016453
         312     1.39423     1.60942   0.0164148
         313     1.38755     1.60871   0.0163776
         314      1.3807     1.60799   0.0163416
         315     1.37358     1.60724   0.0163066
         316      1.3661     1.60648   0.0162729
         317     1.35887      1.6057   0.0162403
         318     1.35152      1.6049   0.0162088
         319     1.34391     1.60408   0.0161787
         320      1.3352     1.60324   0.0161499
         321     1.32523     1.60237   0.0161228
         322     1.31506     1.60148   0.0160974
         323     1.30359     1.60056    0.016074
         324      1.2907      1.5996   0.0160528
         325     1.27626     1.59861   0.0160342
         326     1.26115     1.59757   0.0160184
         327     1.24458     1.59649   0.0160057
         328     1.22483     1.59536    0.015997
         329     1.20502     1.59417   0.0159923
         330     1.18232     1.59293   0.0159925
         331     1.15945     1.59162   0.0159977
         332     1.13556     1.59024   0.0160084
         333     1.11009      1.5888   0.0160251
         334     1.08468     1.58729    0.016048
         335     1.05761     1.58571   0.0160778
         336     1.02984     1.58406   0.0161149
         337     1.00306     1.58233    0.016159
         338    0.975863     1.58054   0.0162105
         339    0.949715     1.57868   0.0162692
         340    0.922953     1.57675   0.0163352
         341    0.897517     1.57476   0.0164083
         342    0.872928      1.5727   0.0164882
         343     0.84965      1.5706   0.0165743
         344    0.827401     1.56844   0.0166663
         345    0.807085     1.56623   0.0167635
         346    0.789584     1.56398   0.0168647
         347    0.773344     1.56171   0.0169693
         348    0.759196      1.5594   0.0170765
         349    0.746745     1.55707   0.0171856
         350    0.736537     1.55473   0.0172956
         351    0.728854     1.55237   0.0174057
         352    0.723962     1.55002   0.0175146
         353    0.721384     1.54767   0.0176216
         354    0.721343     1.54534   0.0177258
         355    0.723815     1.54302   0.0178262
         356    0.727794     1.54073   0.0179227
         357    0.735146     1.53848   0.0180139
         358    0.743401     1.53626      0.0181
         359    0.753446     1.53408   0.0181805
         360    0.764469     1.53194   0.0182552
         361    0.778782     1.52985   0.0183235
         362    0.794599     1.52782   0.0183851
         363    0.812049     1.52585   0.0184399
         364     0.83077     1.52394   0.0184878
         365    0.851603      1.5221   0.0185287
         366    0.872493     1.52032   0.0185629
         367    0.894505     1.51862   0.0185905
         368    0.918462     1.51699   0.0186114
         369     0.94279     1.51543   0.0186259
         370    0.967826     1.51395   0.0186342
         371     0.99391     1.51255   0.0186367
         372     1.02041     1.51123   0.0186334
         373     1.04719     1.50998    0.018625
         374     1.07362     1.50882   0.0186117
         375     1.10053     1.50773   0.0185939
         376      1.1261     1.50671   0.0185721
         377      1.1526     1.50577   0.0185466
         378     1.17799     1.50491   0.0185178
         379     1.20286     1.50411   0.0184861
         380     1.22809     1.50338   0.0184517
         381      1.2514     1.50272   0.0184151
         382      1.2744     1.50212   0.0183766
         383     1.29725     1.50159   0.0183364
         384     1.31893     1.50111   0.0182948
         385     1.33892     1.50069   0.0182521
         386     1.35862     1.50032   0.0182086
         387      1.3761         1.5   0.0181643
         388     1.39279     1.49973   0.0181196
         389     1.40921     1.49949   0.0180745
         390     1.42441      1.4993   0.0180292
         391     1.43966     1.49915   0.0179837
         392     1.45356     1.49903   0.0179382
         393     1.46595     1.49895   0.0178928
         394     1.47885      1.4989   0.0178475
         395     1.49065     1.49888   0.0178023
         396     1.50219     1.49888   0.0177573
         397     1.51213     1.49892   0.0177126
         398      1.5225     1.49898   0.0176682
         399     1.53269     1.49906   0.0176242
         400     1.54161     1.49917   0.0175804
         401     1.55127      1.4993   0.0175371
         402      1.5613     1.49945   0.0174941
         403     1.57177     1.49963   0.0174516
         404     1.58252     1.49984   0.0174096
         405     1.59361     1.50007   0.0173682
         406     1.60507     1.50033   0.0173273
         407     1.61668     1.50061   0.0172871
         408     1.62917     1.50093   0.0172476
         409     1.64155     1.50127   0.0172089
         410     1.65329     1.50164   0.0171709
         411     1.66676     1.50204   0.0171338
         412      1.6797     1.50248   0.0170976
         413     1.69225     1.50293   0.0170624
         414       1.706     1.50343   0.0170283
         415     1.71938     1.50395   0.0169952
         416     1.73275      1.5045   0.0169632
         417       1.745     1.50507   0.0169323
         418     1.75675     1.50567   0.0169025
         419     1.76835      1.5063   0.0168738
         420     1.77872     1.50695   0.0168461
         421     1.78897     1.50762   0.0168194
         422     1.79783     1.50831   0.0167936
         423     1.80594     1.50901   0.0167686
         424     1.81376     1.50973   0.0167445
         425     1.81934     1.51046   0.0167209
         426     1.82413     1.51119   0.0166979
         427     1.82911     1.51194   0.0166754
         428     1.83287     1.51269   0.0166532
         429     1.83523     1.51344   0.0166314
         430     1.83672     1.51419   0.0166097
         431     1.83694     1.51494    0.016588
         432      1.8369     1.51569   0.0165664
         433     1.83668     1.51643   0.0165447
         434     1.83513     1.51716   0.0165229
         435     1.83328     1.51789   0.0165008
         436      1.8307     1.51861   0.0164786
         437     1.82742     1.51931    0.016456
         438     1.82419     1.52001   0.0164332
