#     BLOCK:   VELOCITY:   ACT_POFV:    AVE_POFV:        ERROR:
          11     0.53033   0.0870003    0.253354   0.0417155
          11    0.883883    0.144302     0.25913   0.0277438
          11     1.23744    0.329302    0.312032   0.0338051
          11     1.59099    0.456424    0.302399   0.0279603
          11     1.94454    0.302694    0.240973   0.0139328
          11      2.2981    0.379585    0.325841   0.0149523
          11     2.65165    0.371362    0.265982   0.0239325
          11      3.0052      0.1905    0.177815   0.0203567
          11     3.35876    0.224231    0.181948    0.012292
          11     3.71231   0.0718106   0.0861956   0.0112868
          11     4.06586   0.0817625    0.105247   0.0151419
          11     4.41942   0.0364553   0.0759437  0.00848487
          11     4.77297   0.0508593   0.0338649  0.00768331
          11     5.12652   0.0140374   0.0320936  0.00923936
          11     5.48008  0.00329983 0.000504736 0.000294167
          11     5.83363           0   0.0136184  0.00324525
          11     6.18718   0.0384457   0.0148897  0.00449111
          11     6.54074   0.0139326  0.00180467  0.00123655
          11     6.89429           0    0.021418  0.00277515
          12    0.176777   0.0217894    0.114909   0.0275541
          12     0.53033    0.118951    0.242154   0.0397143
          12    0.883883    0.182067    0.252708   0.0261645
          12     1.23744     0.30788    0.311686   0.0309898
          12     1.59099    0.438197    0.313715   0.0278263
          12     1.94454    0.345173    0.249657   0.0152392
          12      2.2981    0.362196     0.32887   0.0140098
          12     2.65165     0.32815    0.271162   0.0224919
          12      3.0052    0.176462    0.177702   0.0186606
          12     3.35876    0.193904    0.182944   0.0113079
          12     3.71231    0.138279   0.0905359   0.0111495
          12     4.06586   0.0612302    0.101579   0.0143175
          12     4.41942  0.00785674   0.0702698  0.00948708
          12     4.77297   0.0460929   0.0348839  0.00711029
          12     5.12652   0.0386028    0.032636  0.00848532
          12     5.48008  0.00476642 0.000859877 0.000433967
          12     5.83363  0.00628539   0.0130073   0.0030318
          12     6.18718    0.050545    0.017861  0.00500412
          12     6.54074           0  0.00165428  0.00114262
          12     6.89429           0   0.0196331  0.00306456
          13    0.176777   0.0221036     0.10777   0.0263431
          13     0.53033   0.0926572    0.230654   0.0382881
          13    0.883883    0.198357    0.248527   0.0244836
          13     1.23744    0.305156    0.311183     0.02861
          13     1.59099    0.379481    0.318774   0.0261416
          13     1.94454    0.383409    0.259945   0.0171928
          13      2.2981    0.409965    0.335108   0.0142534
          13     2.65165    0.351668    0.277355   0.0215975
          13      3.0052    0.181281    0.177977   0.0172272
          13     3.35876    0.192804    0.183703   0.0104635
          13     3.71231   0.0856385   0.0901591   0.0102982
          13     4.06586   0.0659966   0.0988418   0.0134752
          13     4.41942   0.0127803   0.0658476  0.00973358
          13     4.77297   0.0393885   0.0352304  0.00657178
          13     5.12652  0.00502831   0.0305124  0.00809399
          13     5.48008   0.0259796  0.00279217  0.00189921
          13     5.83363   0.0373457   0.0148795  0.00332679
          13     6.18718   0.0393885    0.019517  0.00488551
          13     6.54074           0  0.00152703  0.00106179
          13     6.89429           0   0.0181229  0.00317925
          14    0.176777   0.0287033    0.102123   0.0250596
          14     0.53033   0.0448882    0.217385   0.0377826
          14    0.883883    0.213808    0.246047     0.02286
          14     1.23744    0.241726    0.306222   0.0269932
          14     1.59099    0.371467    0.322538   0.0245438
          14     1.94454    0.441916    0.272943   0.0202916
          14      2.2981    0.350987    0.336242   0.0132804
          14     2.65165     0.45082    0.289745   0.0233399
          14      3.0052    0.275981    0.184978   0.0173608
          14     3.35876    0.073801    0.175853   0.0123136
          14     3.71231    0.148597   0.0943333   0.0103742
          14     4.06586   0.0157659   0.0929078   0.0137574
          14     4.41942   0.0390742   0.0639352  0.00922427
          14     4.77297  0.00749009    0.033249  0.00639411
          14     5.12652   0.0666252   0.0330918  0.00791622
          14     5.48008  0.00859004   0.0032063  0.00180814
          14     5.83363   0.0255082   0.0156387  0.00317461
          14     6.18718   0.0184895   0.0194436   0.0045371
          14     6.54074  0.00419026  0.00171726  0.00100284
          14     6.89429           0   0.0168284  0.00320488
