#     BLOCK:   DISTANCE:   ACT_GOFR:    AVE_GOFR:        ERROR:
           3     2.21869     1.13975     1.12341  0.00904313
           3     2.24434     1.11577     1.09711  0.00984433
           3     2.26999     1.08415     1.07165  0.00683289
           3     2.29564     1.05274     1.04317  0.00446543
           3     2.32129     1.03776     1.01935   0.0075987
           3     2.34694     1.00269     0.99279  0.00410084
           3     2.37259    0.969183     0.97025  0.00129346
           3     2.39824    0.951946    0.947847  0.00429229
           3     2.42389    0.931515    0.935373   0.0036245
           3     2.44954    0.919362    0.924828  0.00228235
           3     2.47519    0.905694    0.911961   0.0032376
           3     2.50084    0.884202    0.896458  0.00508451
           3     2.52649    0.880741    0.889813  0.00469644
           3     2.55214    0.870371    0.887513   0.0084378
           4   0.0128248           0           0           0
           4   0.0384745           0           0           0
           4   0.0641241           0           0           0
           4   0.0897737           0           0           0
           4    0.115423           0           0           0
           4    0.141073           0           0           0
           4    0.166723           0           0           0
           4    0.192372           0           0           0
           4    0.218022           0           0           0
           4    0.243672           0           0           0
           4    0.269321           0           0           0
           4    0.294971           0           0           0
           4     0.32062           0           0           0
           4     0.34627           0           0           0
           4     0.37192           0           0           0
           4    0.397569           0           0           0
           4    0.423219           0           0           0
           4    0.448869           0           0           0
           4    0.474518           0           0           0
           4    0.500168           0           0           0
           4    0.525818           0           0           0
           4    0.551467           0           0           0
           4    0.577117           0           0           0
           4    0.602767           0           0           0
           4    0.628416           0           0           0
           4    0.654066           0           0           0
           4    0.679715           0           0           0
           4    0.705365           0           0           0
           4    0.731015           0           0           0
           4    0.756664           0           0           0
           4    0.782314           0           0           0
           4    0.807964           0           0           0
           4    0.833613           0           0           0
           4    0.859263           0           0           0
           4    0.884913  0.00275116  0.00146728 0.000373917
           4    0.910562   0.0271095   0.0251824 0.000709196
           4    0.936212    0.169516    0.169536  0.00516925
           4    0.961861    0.570663    0.552422  0.00856314
           4    0.987511     1.24268     1.19671   0.0193306
           4     1.01316     1.93053     1.87328   0.0220805
           4     1.03881     2.38732     2.34583   0.0215439
           4     1.06446      2.5756     2.54937   0.0179592
           4     1.09011     2.55668     2.54821  0.00313061
           4     1.11576     2.46772     2.41544   0.0153853
           4     1.14141     2.20058     2.19516   0.0134237
           4     1.16706     1.94263     1.96647   0.0112984
           4     1.19271     1.72206      1.7586    0.013091
           4     1.21836     1.51369     1.55111   0.0191713
           4     1.24401     1.33252     1.37789   0.0215032
           4     1.26966     1.20732     1.24312   0.0192649
           4     1.29531     1.07164     1.11241   0.0147312
           4     1.32096    0.974783     1.02328   0.0162371
           4     1.34661    0.909251    0.938062   0.0105409
           4     1.37226    0.842133    0.874254    0.010352
           4     1.39791    0.796152    0.811146  0.00593579
           4     1.42355    0.766977     0.77138  0.00181496
           4      1.4492    0.721569    0.734674  0.00380614
           4     1.47485    0.705274    0.709979  0.00372087
           4      1.5005    0.700889    0.691432  0.00287409
           4     1.52615    0.694857    0.687041  0.00314486
           4      1.5518    0.689791    0.678936  0.00570129
           4     1.57745    0.697326    0.675096  0.00869216
           4      1.6031    0.710791    0.684719  0.00832821
           4     1.62875    0.716843    0.693359   0.0104094
           4      1.6544     0.73635    0.710288   0.0107562
           4     1.68005    0.740931    0.728089   0.0078101
           4      1.7057    0.770479    0.756545  0.00771576
           4     1.73135    0.796861    0.786499  0.00371569
           4       1.757    0.841345    0.822769  0.00782771
           4     1.78265    0.864427    0.856015   0.0102644
           4      1.8083    0.901112    0.892629  0.00565646
           4     1.83395    0.938068    0.931475  0.00261207
           4      1.8596    0.980465    0.973072  0.00319335
           4     1.88525      1.0201     1.01367  0.00353352
           4      1.9109     1.05294     1.05485  0.00148895
           4     1.93655     1.10078      1.0927  0.00263906
           4      1.9622     1.12237     1.12259 0.000768105
           4     1.98785     1.17187     1.16244  0.00290807
           4      2.0135     1.18209      1.1803  0.00252198
           4     2.03915     1.19451     1.19756  0.00272361
           4      2.0648     1.21794     1.21614  0.00218461
           4     2.09045     1.21592     1.21056  0.00573666
           4      2.1161     1.20461      1.2049  0.00854938
           4     2.14174     1.18758     1.19852   0.0058377
           4     2.16739     1.15083     1.17324     0.00917
           4     2.19304     1.12718     1.14489    0.007632
           4     2.21869     1.10302     1.11831  0.00809257
           4     2.24434     1.06258     1.08848   0.0105075
           4     2.26999     1.04252     1.06437  0.00812614
           4     2.29564      1.0107     1.03505  0.00778685
           4     2.32129     0.98589     1.01099  0.00921763
           4     2.34694    0.964745    0.985779  0.00680646
           4     2.37259    0.944994    0.963936   0.0055535
           4     2.39824    0.939947    0.945872  0.00364535
           4     2.42389     0.92368     0.93245  0.00371476
           4     2.44954    0.923084    0.924392  0.00175288
           4     2.47519    0.914942    0.912706  0.00251253
           4     2.50084     0.91671    0.901521  0.00581095
           4     2.52649    0.916452    0.896473  0.00675791
           4     2.55214     0.91819    0.895182  0.00917403
           5   0.0128248           0           0           0
           5   0.0384745           0           0           0
           5   0.0641241           0           0           0
           5   0.0897737           0           0           0
           5    0.115423           0           0           0
           5    0.141073           0           0           0
           5    0.166723           0           0           0
           5    0.192372           0           0           0
           5    0.218022           0           0           0
           5    0.243672           0           0           0
           5    0.269321           0           0           0
           5    0.294971           0           0           0
           5     0.32062           0           0           0
           5     0.34627           0           0           0
           5     0.37192           0           0           0
           5    0.397569           0           0           0
           5    0.423219           0           0           0
           5    0.448869           0           0           0
           5    0.474518           0           0           0
           5    0.500168           0           0           0
           5    0.525818           0           0           0
           5    0.551467           0           0           0
           5    0.577117           0           0           0
           5    0.602767           0           0           0
           5    0.628416           0           0           0
           5    0.654066           0           0           0
           5    0.679715           0           0           0
           5    0.705365           0           0           0
           5    0.731015           0           0           0
           5    0.756664           0           0           0
           5    0.782314           0           0           0
           5    0.807964           0           0           0
           5    0.833613           0           0           0
           5    0.859263           0           0           0
           5    0.884913 0.000641936  0.00130221 0.000333585
           5    0.910562   0.0271961   0.0255851 0.000672054
           5    0.936212    0.186639    0.172957  0.00514414
           5    0.961861    0.584402    0.558818  0.00892499
           5    0.987511     1.23966      1.2053    0.017268
           5     1.01316     1.86371     1.87137   0.0177471
           5     1.03881     2.32303     2.34127   0.0177108
           5     1.06446     2.54258     2.54801   0.0144187
           5     1.09011     2.53837     2.54624   0.0030607
           5     1.11576     2.41269     2.41489   0.0123181
           5     1.14141     2.15565     2.18726    0.012856
           5     1.16706     1.96055     1.96529  0.00910053
           5     1.19271     1.75785     1.75845   0.0104737
           5     1.21836      1.5403     1.54895   0.0154585
           5     1.24401     1.38672     1.37965   0.0172749
           5     1.26966     1.21654      1.2378   0.0161284
           5     1.29531     1.11418     1.11276   0.0117892
           5     1.32096     1.03475     1.02557   0.0131508
           5     1.34661    0.936459    0.937742  0.00843761
           5     1.37226    0.873176    0.874038  0.00828386
           5     1.39791    0.822171    0.813351   0.0051419
           5     1.42355    0.790578     0.77522  0.00372863
           5      1.4492    0.747215    0.737182  0.00378208
           5     1.47485    0.707816    0.709546  0.00300173
           5      1.5005    0.693904    0.691926  0.00234141
           5     1.52615    0.684651    0.686563  0.00255195
           5      1.5518    0.675297    0.678208  0.00460723
           5     1.57745     0.69063    0.678203  0.00748841
           5      1.6031    0.692432    0.686262  0.00680392
           5     1.62875    0.706746    0.696036  0.00866502
           5      1.6544     0.71772    0.711775  0.00870709
           5     1.68005    0.735639    0.729599   0.0063924
           5      1.7057     0.75394    0.756024  0.00619016
           5     1.73135    0.801101    0.789419  0.00395718
           5       1.757    0.831482    0.824512  0.00645319
           5     1.78265    0.851229    0.855057    0.008256
           5      1.8083    0.884508    0.891005  0.00475262
           5     1.83395    0.918573    0.928895  0.00311344
           5      1.8596    0.963436    0.971145  0.00308183
           5     1.88525     1.00054     1.01105  0.00367514
           5      1.9109     1.03963      1.0518   0.0029714
           5     1.93655     1.09293     1.09275  0.00211165
           5      1.9622     1.10991     1.12005  0.00234984
           5     1.98785     1.14802     1.15956  0.00347382
           5      2.0135     1.17357     1.17895  0.00234918
           5     2.03915     1.20056     1.19816  0.00224404
           5      2.0648     1.20391     1.21369  0.00279945
           5     2.09045     1.20578      1.2096  0.00466838
           5      2.1161     1.19685     1.20329  0.00698949
           5     2.14174     1.18915     1.19665  0.00496209
           5     2.16739      1.1676     1.17211   0.0074049
           5     2.19304     1.15695      1.1473   0.0064754
           5     2.21869     1.12086     1.11882   0.0064901
           5     2.24434     1.08509      1.0878  0.00842779
           5     2.26999      1.0735     1.06619  0.00670318
           5     2.29564     1.04338     1.03672  0.00640507
           5     2.32129     1.01745     1.01228  0.00746421
           5     2.34694     1.00915    0.990454  0.00686535
           5     2.37259    0.982042    0.967557  0.00549814
           5     2.39824    0.960924    0.948882  0.00396925
           5     2.42389    0.947821    0.935524  0.00404873
           5     2.44954    0.940248    0.927563  0.00316408
           5     2.47519    0.918189    0.913803  0.00223656
           5     2.50084    0.908374    0.902892  0.00480766
           5     2.52649     0.89728    0.896634  0.00540826
           5     2.55214    0.892103    0.894566  0.00735986
           6   0.0128248           0           0           0
           6   0.0384745           0           0           0
           6   0.0641241           0           0           0
           6   0.0897737           0           0           0
           6    0.115423           0           0           0
           6    0.141073           0           0           0
           6    0.166723           0           0           0
           6    0.192372           0           0           0
           6    0.218022           0           0           0
           6    0.243672           0           0           0
           6    0.269321           0           0           0
           6    0.294971           0           0           0
           6     0.32062           0           0           0
           6     0.34627           0           0           0
           6     0.37192           0           0           0
           6    0.397569           0           0           0
           6    0.423219           0           0           0
           6    0.448869           0           0           0
           6    0.474518           0           0           0
           6    0.500168           0           0           0
           6    0.525818           0           0           0
           6    0.551467           0           0           0
           6    0.577117           0           0           0
           6    0.602767           0           0           0
           6    0.628416           0           0           0
           6    0.654066           0           0           0
           6    0.679715           0           0           0
           6    0.705365           0           0           0
           6    0.731015           0           0           0
           6    0.756664           0           0           0
           6    0.782314           0           0           0
           6    0.807964           0           0           0
           6    0.833613           0           0           0
           6    0.859263           0           0           0
           6    0.884913  0.00165069  0.00136029 0.000282999
           6    0.910562   0.0288417   0.0261279 0.000747762
           6    0.936212    0.158537    0.170554  0.00481557
           6    0.961861    0.578736    0.562138  0.00803114
           6    0.987511     1.28009     1.21777   0.0183453
           6     1.01316     1.87631     1.87219   0.0148083
           6     1.03881     2.39118     2.34959   0.0165979
           6     1.06446     2.55975     2.54997   0.0121476
           6     1.09011     2.52484     2.54267  0.00413658
           6     1.11576     2.38656     2.41017   0.0111336
           6     1.14141     2.16309     2.18323   0.0113266
           6     1.16706     1.94537     1.96197  0.00816693
           6     1.19271     1.74715     1.75657  0.00889602
           6     1.21836     1.51674     1.54358   0.0137828
           6     1.24401     1.38597     1.38071   0.0144278
           6     1.26966     1.24073     1.23829   0.0134477
           6     1.29531     1.10357     1.11123  0.00992344
           6     1.32096     1.02639     1.02571   0.0109597
