#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         227    -5.46511     -5.7734   0.0339539
         228    -5.46846    -5.77207   0.0338313
         229    -5.47254    -5.77076   0.0337088
         230    -5.47718    -5.76948   0.0335864
         231    -5.48145    -5.76823   0.0334642
         232    -5.48668    -5.76702   0.0333419
         233    -5.49209    -5.76584   0.0332197
         234    -5.49749    -5.76469   0.0330975
         235    -5.50329    -5.76358   0.0329754
         236    -5.50884     -5.7625   0.0328533
         237    -5.51412    -5.76145   0.0327314
         238    -5.51954    -5.76044   0.0326096
         239     -5.5249    -5.75945   0.0324881
         240    -5.53002     -5.7585   0.0323668
         241    -5.53532    -5.75757   0.0322457
         242    -5.54063    -5.75667   0.0321249
         243    -5.54605    -5.75581   0.0320044
         244    -5.55082    -5.75497   0.0318843
         245     -5.5552    -5.75415   0.0317646
         246    -5.55995    -5.75336   0.0316453
         247    -5.56353    -5.75259   0.0315265
         248     -5.5673    -5.75185   0.0314082
         249    -5.57035    -5.75112   0.0312905
         250    -5.57312    -5.75041   0.0311735
         251    -5.57592    -5.74971    0.031057
         252     -5.5786    -5.74903   0.0309412
         253    -5.58086    -5.74837    0.030826
         254    -5.58257    -5.74771   0.0307116
         255    -5.58448    -5.74707   0.0305978
         256    -5.58615    -5.74644   0.0304847
         257     -5.5876    -5.74583   0.0303724
         258    -5.58883    -5.74522   0.0302608
         259    -5.59002    -5.74462   0.0301499
         260    -5.59042    -5.74403   0.0300397
         261    -5.59095    -5.74344   0.0299304
         262    -5.59117    -5.74286   0.0298218
         263    -5.59124    -5.74228   0.0297139
         264    -5.59103    -5.74171   0.0296069
         265    -5.59085    -5.74114   0.0295007
         266    -5.59056    -5.74057   0.0293952
         267    -5.59032    -5.74001   0.0292905
         268    -5.59015    -5.73945   0.0291865
         269    -5.58989     -5.7389   0.0290833
         270    -5.58956    -5.73834   0.0289809
         271    -5.58917    -5.73779   0.0288792
         272    -5.58812    -5.73724   0.0287782
         273    -5.58761    -5.73669    0.028678
         274    -5.58691    -5.73615   0.0285786
         275    -5.58601     -5.7356   0.0284799
         276    -5.58492    -5.73506   0.0283819
         277    -5.58364    -5.73451   0.0282847
         278    -5.58217    -5.73396   0.0281883
         279    -5.58157    -5.73341   0.0280925
         280    -5.58108    -5.73287   0.0279975
         281     -5.5804    -5.73233   0.0279031
         282    -5.57952    -5.73179   0.0278094
         283    -5.57859    -5.73124   0.0277164
         284    -5.57685     -5.7307   0.0276241
         285    -5.57551    -5.73016   0.0275326
         286    -5.57412    -5.72961   0.0274417
         287    -5.57281    -5.72906   0.0273515
         288    -5.57142    -5.72852    0.027262
         289    -5.56966    -5.72797   0.0271733
         290    -5.56796    -5.72742   0.0270852
         291    -5.56648    -5.72686   0.0269977
         292     -5.5649    -5.72631    0.026911
         293    -5.56308    -5.72575   0.0268249
         294     -5.5613    -5.72519   0.0267395
         295    -5.55865    -5.72463   0.0266548
         296     -5.5568    -5.72406   0.0265708
         297    -5.55422    -5.72349   0.0264875
         298    -5.55214    -5.72291   0.0264048
         299    -5.54948    -5.72233   0.0263229
         300    -5.54656    -5.72175   0.0262417
         301    -5.54352    -5.72115   0.0261612
         302    -5.54022    -5.72056   0.0260814
         303    -5.53726    -5.71995   0.0260023
         304    -5.53405    -5.71934    0.025924
         305    -5.53075    -5.71872   0.0258464
         306    -5.52782     -5.7181   0.0257694
         307    -5.52481    -5.71747   0.0256932
         308    -5.52128    -5.71683   0.0256176
         309    -5.51784    -5.71619   0.0255428
         310    -5.51374    -5.71553   0.0254688
         311    -5.50992    -5.71487   0.0253955
         312    -5.50666    -5.71421   0.0253228
         313    -5.50293    -5.71353   0.0252509
         314    -5.49918    -5.71285   0.0251797
         315    -5.49558    -5.71216   0.0251092
         316    -5.49197    -5.71146   0.0250395
         317    -5.48821    -5.71076   0.0249704
         318    -5.48474    -5.71005    0.024902
         319    -5.48113    -5.70933   0.0248342
         320    -5.47751     -5.7086   0.0247672
         321     -5.4739    -5.70787   0.0247008
         322    -5.47013    -5.70713   0.0246351
         323     -5.4665    -5.70639   0.0245701
         324    -5.46225    -5.70564   0.0245059
         325     -5.4589    -5.70488   0.0244422
         326    -5.45477    -5.70411   0.0243793
         327    -5.45168    -5.70334   0.0243169
         328    -5.44782    -5.70256   0.0242553
         329    -5.44438    -5.70177   0.0241942
         330    -5.44048    -5.70098   0.0241339
         331    -5.43747    -5.70019   0.0240741
         332    -5.43353    -5.69938    0.024015
         333     -5.4296    -5.69857   0.0239565
         334    -5.42581    -5.69776   0.0238987
         335     -5.4219    -5.69693   0.0238416
         336    -5.41802     -5.6961    0.023785
         337    -5.41403    -5.69527   0.0237292
         338    -5.41012    -5.69442    0.023674
         339    -5.40614    -5.69357   0.0236194
         340    -5.40226    -5.69271   0.0235655
         341    -5.39867    -5.69185   0.0235121
         342    -5.39553    -5.69099   0.0234593
         343    -5.39271    -5.69012   0.0234071
         344    -5.39023    -5.68924   0.0233552
         345    -5.38782    -5.68837   0.0233039
         346    -5.38548     -5.6875    0.023253
         347     -5.3831    -5.68662   0.0232025
         348    -5.38128    -5.68574   0.0231524
         349    -5.37929    -5.68486   0.0231027
         350    -5.37805    -5.68399   0.0230533
         351    -5.37695    -5.68311   0.0230042
         352    -5.37631    -5.68224   0.0229554
         353    -5.37598    -5.68137   0.0229068
         354    -5.37611    -5.68051   0.0228583
         355    -5.37656    -5.67965   0.0228099
         356    -5.37732     -5.6788   0.0227616
         357    -5.37823    -5.67796   0.0227135
         358    -5.37944    -5.67713   0.0226653
         359    -5.38109     -5.6763   0.0226172
         360    -5.38287    -5.67549    0.022569
         361    -5.38491    -5.67468   0.0225209
         362    -5.38674    -5.67389   0.0224727
         363    -5.38956    -5.67311   0.0224244
         364    -5.39169    -5.67233   0.0223761
         365    -5.39401    -5.67157   0.0223278
         366    -5.39727    -5.67082   0.0222794
         367    -5.40068    -5.67008   0.0222308
         368    -5.40437    -5.66936   0.0221822
         369    -5.40788    -5.66865   0.0221334
         370    -5.41117    -5.66796   0.0220845
         371    -5.41438    -5.66727   0.0220355
         372    -5.41825     -5.6666   0.0219865
         373     -5.4217    -5.66595   0.0219373
         374    -5.42576    -5.66531   0.0218881
         375    -5.42891    -5.66468   0.0218388
         376    -5.43279    -5.66406   0.0217894
         377    -5.43618    -5.66345     0.02174
         378    -5.43952    -5.66286   0.0216905
         379    -5.44264    -5.66228   0.0216411
         380    -5.44644    -5.66171   0.0215916
         381       -5.45    -5.66116   0.0215421
         382    -5.45376    -5.66061   0.0214925
         383    -5.45665    -5.66008    0.021443
         384    -5.45973    -5.65956   0.0213935
         385    -5.46239    -5.65905   0.0213441
         386    -5.46521    -5.65855   0.0212947
         387     -5.4676    -5.65805   0.0212454
         388    -5.47029    -5.65757   0.0211961
         389    -5.47238    -5.65709    0.021147
         390    -5.47431    -5.65662   0.0210979
         391    -5.47622    -5.65616    0.021049
         392    -5.47856    -5.65571   0.0210002
         393    -5.48042    -5.65526   0.0209515
         394    -5.48193    -5.65482   0.0209029
         395    -5.48369    -5.65439   0.0208545
         396    -5.48494    -5.65396   0.0208062
         397    -5.48612    -5.65354   0.0207581
         398    -5.48661    -5.65312   0.0207102
         399     -5.4867     -5.6527   0.0206625
         400    -5.48625    -5.65229    0.020615
         401    -5.48614    -5.65187   0.0205678
         402    -5.48623    -5.65146   0.0205208
         403    -5.48559    -5.65105    0.020474
         404    -5.48438    -5.65064   0.0204274
         405    -5.48321    -5.65022   0.0203812
         406    -5.48208    -5.64981   0.0203352
         407    -5.48115    -5.64939   0.0202895
         408    -5.47878    -5.64898    0.020244
         409    -5.47665    -5.64855   0.0201989
         410    -5.47432    -5.64813   0.0201541
         411    -5.47197     -5.6477   0.0201096
         412    -5.46918    -5.64727   0.0200655
         413    -5.46643    -5.64683   0.0200217
         414    -5.46378    -5.64639   0.0199782
         415    -5.46065    -5.64594   0.0199351
         416    -5.45799    -5.64549   0.0198923
         417    -5.45538    -5.64503   0.0198498
         418    -5.45288    -5.64457   0.0198076
         419    -5.45096    -5.64411   0.0197658
         420    -5.44876    -5.64365   0.0197242
         421     -5.4469    -5.64318   0.0196829
         422    -5.44497    -5.64271   0.0196418
         423    -5.44371    -5.64224    0.019601
         424    -5.44225    -5.64177   0.0195605
         425    -5.44087    -5.64129   0.0195201
         426    -5.43987    -5.64082     0.01948
         427    -5.43909    -5.64035   0.0194402
         428    -5.43866    -5.63988   0.0194004
         429    -5.43809    -5.63941   0.0193609
         430    -5.43781    -5.63894   0.0193216
         431    -5.43777    -5.63847   0.0192824
         432    -5.43796    -5.63801   0.0192433
         433    -5.43772    -5.63754   0.0192044
         434    -5.43793    -5.63708   0.0191657
         435    -5.43749    -5.63663   0.0191271
         436    -5.43758    -5.63617   0.0190887
         437    -5.43728    -5.63571   0.0190505
         438     -5.4367    -5.63526   0.0190124
         439    -5.43659    -5.63481   0.0189745
         440    -5.43558    -5.63435   0.0189367
         441    -5.43501     -5.6339   0.0188992
         442    -5.43338    -5.63345   0.0188619
         443    -5.43249    -5.63299   0.0188248
         444      -5.431    -5.63254   0.0187879
         445    -5.42965    -5.63208   0.0187512
         446    -5.42802    -5.63163   0.0187147
         447    -5.42612    -5.63117   0.0186785
         448     -5.4238     -5.6307   0.0186425
         449    -5.42154    -5.63024   0.0186068
         450    -5.41951    -5.62977   0.0185714
         451    -5.41697     -5.6293   0.0185362
         452    -5.41439    -5.62882   0.0185013
         453    -5.41209    -5.62834   0.0184666
         454    -5.41023    -5.62786   0.0184322
         455    -5.40733    -5.62738    0.018398
         456    -5.40521    -5.62689   0.0183641
         457    -5.40312     -5.6264   0.0183305
         458    -5.40092    -5.62591   0.0182971
         459    -5.39862    -5.62541   0.0182639
         460    -5.39639    -5.62492    0.018231
         461    -5.39467    -5.62442   0.0181983
         462    -5.39289    -5.62392   0.0181658
         463    -5.39074    -5.62341   0.0181335
         464    -5.38928    -5.62291   0.0181015
         465    -5.38777     -5.6224   0.0180696
         466    -5.38637     -5.6219   0.0180379
         467    -5.38508    -5.62139   0.0180064
         468    -5.38361    -5.62088   0.0179751
