#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         233     1.11242     1.30036   0.0222485
         234     1.11582     1.29957   0.0221674
         235     1.11931     1.29881   0.0220864
         236     1.12288     1.29806   0.0220053
         237     1.12648     1.29734   0.0219244
         238      1.1301     1.29664   0.0218435
         239      1.1337     1.29595   0.0217628
         240     1.13728     1.29529   0.0216821
         241     1.14079     1.29465   0.0216016
         242     1.14423     1.29403   0.0215213
         243     1.14756     1.29343   0.0214412
         244     1.15077     1.29284   0.0213613
         245     1.15385     1.29228   0.0212816
         246     1.15677     1.29172   0.0212023
         247     1.15953     1.29119   0.0211232
         248     1.16212     1.29067   0.0210444
         249     1.16454     1.29016    0.020966
         250     1.16677     1.28967   0.0208879
         251     1.16882     1.28919   0.0208103
         252     1.17068     1.28872    0.020733
         253     1.17237     1.28826   0.0206561
         254     1.17388     1.28781   0.0205797
         255     1.17522     1.28736   0.0205038
         256     1.17639     1.28693   0.0204282
         257      1.1774     1.28651   0.0203532
         258     1.17827     1.28609   0.0202786
         259     1.17899     1.28567   0.0202046
         260     1.17958     1.28526    0.020131
         261     1.18005     1.28486   0.0200579
         262      1.1804     1.28446   0.0199853
         263     1.18065     1.28407   0.0199132
         264      1.1808     1.28368   0.0198416
         265     1.18086     1.28329   0.0197705
         266     1.18084      1.2829   0.0196999
         267     1.18075     1.28252   0.0196299
         268     1.18059     1.28214   0.0195603
         269     1.18038     1.28176   0.0194913
         270     1.18011     1.28139   0.0194227
         271     1.17979     1.28101   0.0193547
         272     1.17943     1.28064   0.0192871
         273     1.17903     1.28027     0.01922
         274     1.17859     1.27989   0.0191535
         275     1.17812     1.27952   0.0190874
         276     1.17762     1.27915   0.0190218
         277      1.1771     1.27879   0.0189567
         278     1.17655     1.27842   0.0188921
         279     1.17597     1.27805   0.0188279
         280     1.17537     1.27768   0.0187643
         281     1.17474     1.27732   0.0187011
         282     1.17408     1.27695   0.0186383
         283     1.17339     1.27659   0.0185761
         284     1.17267     1.27622   0.0185143
         285     1.17192     1.27585   0.0184529
         286     1.17113     1.27549    0.018392
         287     1.17029     1.27512   0.0183316
         288     1.16942     1.27475   0.0182716
         289      1.1685     1.27439   0.0182121
         290     1.16752     1.27402    0.018153
         291     1.16649     1.27365   0.0180944
         292      1.1654     1.27328   0.0180362
         293     1.16425     1.27291   0.0179785
         294     1.16303     1.27253   0.0179212
         295     1.16174     1.27216   0.0178644
         296     1.16038     1.27178   0.0178081
         297     1.15895      1.2714   0.0177522
         298     1.15743     1.27102   0.0176967
         299     1.15584     1.27063   0.0176417
         300     1.15417     1.27024   0.0175872
         301     1.15242     1.26985   0.0175331
         302      1.1506     1.26946   0.0174795
         303      1.1487     1.26906   0.0174264
         304     1.14673     1.26866   0.0173737
         305     1.14469     1.26825   0.0173215
         306     1.14259     1.26784   0.0172697
         307     1.14043     1.26742   0.0172185
         308     1.13823       1.267   0.0171677
         309     1.13597     1.26658   0.0171173
         310     1.13368     1.26615   0.0170675
         311     1.13135     1.26572   0.0170181
         312       1.129     1.26528   0.0169692
