#     BLOCK:   DISTANCE:   ACT_GOFR:    AVE_GOFR:        ERROR:
           3     2.03915      1.2341     1.19165   0.0190083
           3      2.0648     1.21646     1.20855   0.0123954
           3     2.09045     1.20536     1.22041    0.006758
           3      2.1161     1.23844     1.23123  0.00947284
           3     2.14174     1.21205     1.20818  0.00173237
           3     2.16739     1.19044     1.19853  0.00611677
           3     2.19304     1.17091     1.16412  0.00479985
           3     2.21869     1.14902     1.13068  0.00854682
           3     2.24434     1.14981     1.10804   0.0188474
           3     2.26999     1.10556     1.07124   0.0177451
           3     2.29564     1.06336     1.02513   0.0215978
           3     2.32129     1.01336    0.997894   0.0117777
           3     2.34694    0.993729    0.977531  0.00679519
           3     2.37259    0.960495    0.960465  0.00862118
           3     2.39824    0.963683    0.943397   0.0145819
           3     2.42389    0.915074     0.91824  0.00586322
           3     2.44954    0.910553    0.909891  0.00287333
           3     2.47519    0.883832    0.900446  0.00951646
           3     2.50084    0.866909     0.88553  0.00809622
           3     2.52649    0.861986    0.894722   0.0138187
           3     2.55214    0.886612    0.892952  0.00474656
           4   0.0128248           0           0           0
           4   0.0384745           0           0           0
           4   0.0641241           0           0           0
           4   0.0897737           0           0           0
           4    0.115423           0           0           0
           4    0.141073           0           0           0
           4    0.166723           0           0           0
           4    0.192372           0           0           0
           4    0.218022           0           0           0
           4    0.243672           0           0           0
           4    0.269321           0           0           0
           4    0.294971           0           0           0
           4     0.32062           0           0           0
           4     0.34627           0           0           0
           4     0.37192           0           0           0
           4    0.397569           0           0           0
           4    0.423219           0           0           0
           4    0.448869           0           0           0
           4    0.474518           0           0           0
           4    0.500168           0           0           0
           4    0.525818           0           0           0
           4    0.551467           0           0           0
           4    0.577117           0           0           0
           4    0.602767           0           0           0
           4    0.628416           0           0           0
           4    0.654066           0           0           0
           4    0.679715           0           0           0
           4    0.705365           0           0           0
           4    0.731015           0           0           0
           4    0.756664           0           0           0
           4    0.782314           0           0           0
           4    0.807964           0           0           0
           4    0.833613           0           0           0
           4    0.859263           0           0           0
           4    0.884913           0  0.00167362 0.000653601
           4    0.910562   0.0221726   0.0249009  0.00135309
           4    0.936212    0.150016    0.162777  0.00835229
           4    0.961861     0.58479    0.571129  0.00628298
           4    0.987511     1.11772     1.19187   0.0247774
           4     1.01316     1.86036     1.86343   0.0152405
           4     1.03881     2.37188     2.31598   0.0199391
           4     1.06446      2.5498     2.50029   0.0201703
           4     1.09011     2.58853     2.50358   0.0311698
           4     1.11576     2.39717     2.35098   0.0282568
           4     1.14141     2.22737     2.24208   0.0367143
           4     1.16706     1.99535     2.05332    0.045764
           4     1.19271     1.77779     1.80814   0.0372094
           4     1.21836     1.55955     1.59529   0.0339347
           4     1.24401     1.38045     1.41792   0.0118962
           4     1.26966     1.21338     1.26254   0.0152588
           4     1.29531      1.1563     1.16041   0.0124883
           4     1.32096    0.985648     1.01696   0.0145087
           4     1.34661    0.900855    0.909469   0.0102172
           4     1.37226    0.856625    0.837461   0.0211714
           4     1.39791    0.808978    0.778678   0.0138448
           4     1.42355    0.855642    0.779876   0.0263503
           4      1.4492    0.787599    0.719714   0.0233149
           4     1.47485    0.720659    0.694173   0.0235198
           4      1.5005     0.71049    0.695084   0.0160545
           4     1.52615    0.705833    0.687588  0.00588016
           4      1.5518    0.663607     0.67283   0.0107018
           4     1.57745    0.629244     0.67532   0.0139707
           4      1.6031    0.632268    0.664676  0.00991688
           4     1.62875    0.645971    0.679397   0.0100014
           4      1.6544    0.692952     0.70266   0.0122875
           4     1.68005    0.713274    0.710654   0.0109366
           4      1.7057    0.759815    0.745678  0.00736257
           4     1.73135    0.788044    0.789134  0.00231312
           4       1.757    0.809265    0.826474  0.00580667
           4     1.78265    0.880698    0.866444  0.00975157
           4      1.8083    0.910753    0.896692   0.0171165
           4     1.83395    0.918168    0.919171   0.0158493
           4      1.8596    0.963457    0.977173  0.00763175
           4     1.88525    0.989651      1.0272   0.0157482
           4      1.9109     1.06655     1.06964    0.012315
           4     1.93655     1.10153     1.08706   0.0154279
           4      1.9622     1.11912     1.12838   0.0114526
           4     1.98785     1.17196     1.15579  0.00473056
           4      2.0135     1.18787     1.17169  0.00607118
           4     2.03915     1.20912     1.19602   0.0147496
           4      2.0648      1.2072     1.20821  0.00930116
           4     2.09045     1.22668     1.22198  0.00524696
           4      2.1161     1.21638     1.22752  0.00779788
           4     2.14174     1.17981     1.20109  0.00627686
           4     2.16739     1.17459     1.19255  0.00692188
           4     2.19304     1.12017     1.15313   0.0101728
           4     2.21869     1.12184     1.12847   0.0066898
           4     2.24434     1.09379     1.10448   0.0144684
           4     2.26999     1.04612     1.06496   0.0143779
           4     2.29564     1.05258     1.03199   0.0172542
           4     2.32129     1.00985     1.00088  0.00920497
           4     2.34694     1.03566    0.992063   0.0135779
           4     2.37259    0.995987    0.969345   0.0100476
           4     2.39824    0.957428    0.946905   0.0113504
           4     2.42389    0.945523    0.925061  0.00736402
           4     2.44954    0.917244    0.911729  0.00267923
           4     2.47519    0.905471    0.901702  0.00721978
           4     2.50084    0.898085    0.888669  0.00665278
           4     2.52649    0.893961    0.894532   0.0103654
           4     2.55214    0.896976    0.893958    0.003665
           5   0.0128248           0           0           0
           5   0.0384745           0           0           0
           5   0.0641241           0           0           0
           5   0.0897737           0           0           0
           5    0.115423           0           0           0
           5    0.141073           0           0           0
           5    0.166723           0           0           0
           5    0.192372           0           0           0
           5    0.218022           0           0           0
           5    0.243672           0           0           0
           5    0.269321           0           0           0
           5    0.294971           0           0           0
           5     0.32062           0           0           0
           5     0.34627           0           0           0
           5     0.37192           0           0           0
           5    0.397569           0           0           0
           5    0.423219           0           0           0
           5    0.448869           0           0           0
           5    0.474518           0           0           0
           5    0.500168           0           0           0
           5    0.525818           0           0           0
           5    0.551467           0           0           0
           5    0.577117           0           0           0
           5    0.602767           0           0           0
           5    0.628416           0           0           0
           5    0.654066           0           0           0
           5    0.679715           0           0           0
           5    0.705365           0           0           0
           5    0.731015           0           0           0
           5    0.756664           0           0           0
           5    0.782314           0           0           0
           5    0.807964           0           0           0
           5    0.833613           0           0           0
           5    0.859263           0           0           0
